response_id,submitted_at,question,response
S-0001,2026-01-05,Tell us about your recent experience.,Got locked out of my account for 18 days over what turned out to be updating my phone number. Pretty stressful.
S-0002,2026-01-06,Tell us about your recent experience.,I disputed a payment to an online retailer who never shipped my item. It's been 15 days and the dispute status still just says 'in progress.'
S-0003,2026-01-07,Tell us about your recent experience.,"Linking my US Bank account failed twice before finally working on the third try, no idea why."
S-0004,2026-01-08,Any concerns about fees?,Wish the fee was shown before I hit confirm instead of after the money is already sent.
S-0005,2026-01-09,What could we improve?,Refund for a canceled order never came through even though an online retailer confirmed it on their end 17 days ago.
S-0006,2026-01-10,What could we improve?,Customer support chat felt like talking to a wall. Took forever to get a real answer.
S-0007,2026-01-13,Tell us about your recent experience.,Got locked out of my account for 14 days over what turned out to be a large deposit. Pretty stressful.
S-0008,2026-01-13,Tell us about your recent experience.,"App has been crashing a lot lately on my the web app, especially when I check old transactions."
S-0009,2026-01-14,What could we improve?,Faster resolution on account freezes. Mine took over 11 days and support gave no timeline.
S-0010,2026-01-15,Tell us about your recent experience.,Got locked out of my account for 9 days over what turned out to be updating my phone number. Pretty stressful.
S-0011,2026-01-16,What could we improve?,The verification process to unlock full features asked for way too many documents for a small limit increase.
S-0012,2026-01-17,Any concerns about security?,"I'd feel safer if there was two factor authentication required for every new device login, not just sometimes."
S-0013,2026-01-17,Tell us about your recent experience.,"App has been crashing a lot lately on my iPhone, especially when I check old transactions."
S-0014,2026-01-19,Any concerns about fees?,Wish the fee was shown before I hit confirm instead of after the money is already sent.
S-0015,2026-01-19,Tell us about your recent experience.,"App has been crashing a lot lately on my Android phone, especially when I check old transactions."
S-0016,2026-01-22,What could we improve?,Customer support chat felt like talking to a wall. Took forever to get a real answer.
S-0017,2026-01-23,Tell us about your recent experience.,"Linking my Chase account failed twice before finally working on the third try, no idea why."
S-0018,2026-01-25,Any feature you wish we had?,"budgeting tools, please, and maybe spending insights too."
S-0019,2026-01-27,What could we improve?,Customer support chat felt like talking to a wall. Took forever to get a real answer.
S-0020,2026-01-28,What could we improve?,The verification process to unlock full features asked for way too many documents for a small limit increase.
S-0021,2026-01-28,Tell us about your recent experience.,Got locked out of my account for 20 days over what turned out to be updating my phone number. Pretty stressful.
S-0022,2026-01-29,Tell us about your recent experience.,"Sending money to family has been mostly smooth, though a $200 transfer once took 7 days longer than expected."
S-0023,2026-01-29,What could we improve?,Customer support chat felt like talking to a wall. Took forever to get a real answer.
S-0024,2026-02-02,Tell us about your recent experience.,"Overall pretty happy, the redesign made things easier to find on my the web app."
S-0025,2026-02-03,Tell us about your recent experience.,"App has been crashing a lot lately on my iPad, especially when I check old transactions."
S-0026,2026-02-03,Tell us about your recent experience.,"App has been crashing a lot lately on my iPad, especially when I check old transactions."
S-0027,2026-02-04,Tell us about your recent experience.,"App has been crashing a lot lately on my iPad, especially when I check old transactions."
S-0028,2026-02-06,Any concerns about security?,Got a suspicious text claiming to be you asking to confirm my card. Might want to warn users about that scam.
S-0029,2026-02-09,Tell us about your recent experience.,"Sending money to family has been mostly smooth, though a $375 transfer once took 8 days longer than expected."
S-0030,2026-02-11,Any concerns about security?,"I'd feel safer if there was two factor authentication required for every new device login, not just sometimes."
S-0031,2026-02-12,Tell us about your recent experience.,"Nothing really to improve, it does exactly what I need for splitting bills with roommates."
S-0032,2026-02-13,Tell us about your recent experience.,Got locked out of my account for 12 days over what turned out to be logging in from a new device. Pretty stressful.
S-0033,2026-02-14,Tell us about your recent experience.,"App has been crashing a lot lately on my Android phone, especially when I check old transactions."
S-0034,2026-02-14,Tell us about your recent experience.,"Linking my Chase account failed twice before finally working on the third try, no idea why."
S-0035,2026-02-17,What could we improve?,The verification process to unlock full features asked for way too many documents for a small limit increase.
S-0036,2026-02-18,Tell us about your recent experience.,"Linking my Citi account failed twice before finally working on the third try, no idea why."
S-0037,2026-02-22,Tell us about your recent experience.,"Sending money to family has been mostly smooth, though a $500 transfer once took 14 days longer than expected."
S-0038,2026-02-28,Any concerns about fees?,Wish the fee was shown before I hit confirm instead of after the money is already sent.
S-0039,2026-02-28,What could we improve?,Refund for a canceled order never came through even though a subscription service confirmed it on their end 18 days ago.
S-0040,2026-02-28,Tell us about your recent experience.,"Nothing really to improve, it does exactly what I need for splitting bills with roommates."
S-0041,2026-03-02,What could we improve?,Customer support chat felt like talking to a wall. Took forever to get a real answer.
S-0042,2026-03-03,Tell us about your recent experience.,"Nothing really to improve, it does exactly what I need for splitting bills with roommates."
S-0043,2026-03-03,Tell us about your recent experience.,"Nothing really to improve, it does exactly what I need for splitting bills with roommates."
S-0044,2026-03-04,Any feature you wish we had?,"multi-currency support, please, and maybe transaction categorization too."
S-0045,2026-03-04,Any feature you wish we had?,"spending insights, please, and maybe spending insights too."
S-0046,2026-03-05,What could we improve?,Refund for a canceled order never came through even though an online retailer confirmed it on their end 20 days ago.
S-0047,2026-03-07,Any concerns about security?,"I'd feel safer if there was two factor authentication required for every new device login, not just sometimes."
S-0048,2026-03-07,Any concerns about fees?,Wish the fee was shown before I hit confirm instead of after the money is already sent.
S-0049,2026-03-09,Tell us about your recent experience.,Got locked out of my account for 17 days over what turned out to be updating my phone number. Pretty stressful.
S-0050,2026-03-10,What could we improve?,The verification process to unlock full features asked for way too many documents for a small limit increase.
S-0051,2026-03-10,Tell us about your recent experience.,"App has been crashing a lot lately on my Android phone, especially when I check old transactions."
S-0052,2026-03-11,Tell us about your recent experience.,"App has been crashing a lot lately on my the web app, especially when I check old transactions."
S-0053,2026-03-12,Tell us about your recent experience.,"Linking my Chase account failed twice before finally working on the third try, no idea why."
S-0054,2026-03-12,Tell us about your recent experience.,"Overall pretty happy, the redesign made things easier to find on my the web app."
S-0055,2026-03-12,Tell us about your recent experience.,"App has been crashing a lot lately on my iPad, especially when I check old transactions."
S-0056,2026-03-12,Tell us about your recent experience.,"Linking my Chase account failed twice before finally working on the third try, no idea why."
S-0057,2026-03-13,Tell us about your recent experience.,"App has been crashing a lot lately on my iPhone, especially when I check old transactions."
S-0058,2026-03-14,Any concerns about security?,"I'd feel safer if there was two factor authentication required for every new device login, not just sometimes."
S-0059,2026-03-15,What could we improve?,Faster resolution on account freezes. Mine took over 14 days and support gave no timeline.
S-0060,2026-03-17,Tell us about your recent experience.,"App has been crashing a lot lately on my iPhone, especially when I check old transactions."
S-0061,2026-03-18,Any feature you wish we had?,"budgeting tools, please, and maybe recurring payments too."
S-0062,2026-03-18,What could we improve?,Customer support chat felt like talking to a wall. Took forever to get a real answer.
S-0063,2026-03-19,Any concerns about fees?,Instant transfer fee jumped from 1.5% to 2.5% with zero notice.
S-0064,2026-03-21,Tell us about your recent experience.,Got locked out of my account for 21 days over what turned out to be changing my mailing address. Pretty stressful.
S-0065,2026-03-22,Any feature you wish we had?,A built in way to do multi-currency support would save me so much time every month.
S-0066,2026-03-23,What could we improve?,Customer support chat felt like talking to a wall. Took forever to get a real answer.
S-0067,2026-03-24,Tell us about your recent experience.,"Nothing really to improve, it does exactly what I need for splitting bills with roommates."
S-0068,2026-03-25,What could we improve?,Faster resolution on account freezes. Mine took over 11 days and support gave no timeline.
S-0069,2026-03-25,Tell us about your recent experience.,"App has been crashing a lot lately on my Android phone, especially when I check old transactions."
