id,feedback,timestamp,source
1,Got locked out of my account for 18 days over what turned out to be updating my phone number. Pretty stressful.,2026-01-05T00:00:00Z,Survey
2,Debit card won't link: Every time I try to add my US Bank debit card I get error code 2214. I've tried three different cards and none work.,2026-01-05T18:13:00Z,Tickets
3,I disputed a payment to an online retailer who never shipped my item. It's been 15 days and the dispute status still just says 'in progress.',2026-01-06T00:00:00Z,Survey
4,"Linking my US Bank account failed twice before finally working on the third try, no idea why.",2026-01-07T00:00:00Z,Survey
5,Waited on hold for 15 minutes only to get disconnected. Called back and had to explain the entire situation from scratch again.,2026-01-07T00:00:00Z,Reviews
6,Chatted with support about a duplicate charge and they resolved it in under 10 minutes with no hoops to jump through. Genuinely impressed.,2026-01-07T00:00:00Z,Reviews
7,My account has been frozen for 14 days and nobody can tell me why. I have medical bill money stuck in there and support keeps sending the same copy-paste email.,2026-01-07T00:00:00Z,Reviews
8,Dispute never resolved after 4 days: I opened a dispute for an item that never arrived from a ticketing site and it's been open for 4 days with no update. Can someone actually look at this?,2026-01-07T20:06:00Z,Tickets
9,Wish the fee was shown before I hit confirm instead of after the money is already sent.,2026-01-08T00:00:00Z,Survey
10,Didn't realize there was a fee for adding money with a credit card until after I'd already done it. Should be way more visible before you confirm.,2026-01-08T00:00:00Z,Reviews
11,Got a text that looked exactly like it came from the app asking me to confirm my login. Clicked it and now $375 is gone.,2026-01-08T00:00:00Z,Reviews
12,Refund for a canceled order never came through even though an online retailer confirmed it on their end 17 days ago.,2026-01-09T00:00:00Z,Survey
13,Locked out of my account with no warning after a routine transfer. Passed every verification step and it's still 'under review.',2026-01-09T00:00:00Z,Reviews
14,Locked out of my account with no warning after changing my mailing address. Passed every verification step and it's still 'under review.',2026-01-09T00:00:00Z,Reviews
15,Customer support chat felt like talking to a wall. Took forever to get a real answer.,2026-01-10T00:00:00Z,Survey
16,It's fine I guess. Nothing special but nothing broken either. Does what a payments app needs to do.,2026-01-10T00:00:00Z,Reviews
